time,theta,theta_ref,tau_out,tau1,tau2,q1,q2,dq1,dq2,z
18.676000000000002,-4.8537719479387065e-06,0.0,1.9261308455595248e-05,0.0009663830990835231,-0.00035653799384761725,-0.2479885938092686,0.15208069553905532,0.019635493657654293,-0.012041603976978895,-0.027815105172408157
18.678,-4.853004030422672e-06,0.0,1.9258258647343273e-05,0.0009662300877185176,-0.00035648154280469314,-0.24794932903979136,0.15205661614436256,0.01963238473862145,-0.012039697346377026,-0.027810701123961123
18.68,-4.852236224019146e-06,0.0,1.925520932386662e-05,0.000966077100598566,-0.0003564251006878735,-0.24791007048716865,0.15203254056232557,0.01962927631135495,-0.012037791018495652,-0.027806297772820527
18.682000000000002,-4.851468528899866e-06,0.0,1.925216048507482e-05,0.0009659241377198817,-0.00035636866749594234,-0.2478708181504171,0.15200846879233904,0.019626168375785378,-0.012035884993272081,-0.027801895118875947
18.684,-4.850700945222691e-06,0.0,1.924911213083549e-05,0.0009657711990778788,-0.0003563122432277112,-0.2478315720285534,0.15198440083379774,0.0196230609318431,-0.0120339792706439,-0.027797493162016993
18.686,-4.84993347315589e-06,0.0,1.9246064261071482e-05,0.0009656182846690042,-0.00035625582788194663,-0.24779233212059448,0.15196033668609665,0.01961995397945847,-0.012032073850548951,-0.027793091902133284
18.688,-4.849166112848649e-06,0.0,1.924301687564238e-05,0.0009654653944884994,-0.00035619942145745674,-0.24775309842555737,0.1519362763486308,0.019616847518561586,-0.012030168732925346,-0.027788691339114466
18.69,-4.848398864458828e-06,0.0,1.9239969974455587e-05,0.0009653125285325302,-0.00035614302395301916,-0.2477138709424592,0.15191221982079536,0.019613741549082474,-0.01202826391771145,-0.027784291472850192
18.692,-4.847631728139082e-06,0.0,1.923692355741042e-05,0.0009651596867970788,-0.0003560866353674057,-0.2476746496703173,0.15188816710198566,0.019610636070951065,-0.012026359404845874,-0.027779892303230143
18.694,-4.846864704033393e-06,0.0,1.9233877624383957e-05,0.0009650068692777093,-0.00035603025569940454,-0.2476354346081491,0.15186411819159712,0.019607531084097095,-0.012024455194267486,-0.027775493830144007
18.696,-4.846097792290949e-06,0.0,1.923083217528652e-05,0.0009648540759706094,-0.00035597388494777797,-0.2475962257549722,0.15184007308902528,0.019604426588450245,-0.012022551285915386,-0.0277710960534815
18.698,-4.845330993050526e-06,0.0,1.9227787209998756e-05,0.0009647013068714082,-0.00035591752311130837,-0.24755702310980432,0.15181603179366582,0.019601322583940022,-0.012020647679728925,-0.027766698973132345
18.7,-4.844564306452637e-06,0.0,1.9224742728420268e-05,0.0009645485619760837,-0.0003558611701887592,-0.24751782667166333,0.15179199430491452,0.01959821907049584,-0.012018744375647681,-0.02776230258898629
18.702,-4.843797732634325e-06,0.0,1.922169873044839e-05,0.0009643958412805715,-0.00035580482617889584,-0.24747863643956725,0.1517679606221673,0.019595116048046993,-0.012016841373611467,-0.027757906900933098
18.704,-4.84303127172743e-06,0.0,1.9218655215971134e-05,0.0009642431447806218,-0.00035574849108048934,-0.2474394524125342,0.15174393074482018,0.019592013516522646,-0.012014938673560325,-0.02775351190886255
18.706,-4.842264923867259e-06,0.0,1.9215612184901738e-05,0.0009640904724724591,-0.0003556921648922855,-0.2474002745895825,0.1517199046722693,0.01958891147585191,-0.012013036275434515,-0.02774911761266444
18.708000000000002,-4.841498689176979e-06,0.0,1.921256963711581e-05,0.0009639378243515883,-0.00035563584761305096,-0.24736110296973057,0.15169588240391096,0.019585809925963708,-0.01201113417917452,-0.02774472401222859
18.71,-4.840732567784958e-06,0.0,1.9209527572520753e-05,0.0009637852004141286,-0.00035557953924154174,-0.247321937551997,0.15167186393914153,0.019582708866786896,-0.012009232384721043,-0.02774033110744483
18.712,-4.839966559814363e-06,0.0,1.9206485991013856e-05,0.0009636326006559854,-0.0003555232397765076,-0.2472827783354005,0.1516478492773575,0.019579608298250225,-0.012007330892014993,-0.027735938898203017
18.714,-4.839200665388357e-06,0.0,1.9203444892502916e-05,0.0009634800250732576,-0.00035546694921668857,-0.24724362531895994,0.15162383841795551,0.019576508220282375,-0.012005429700997489,-0.027731547384393013
18.716,-4.838434884623169e-06,0.0,1.9200404276878205e-05,0.0009633274736617184,-0.00035541066756082965,-0.2472044785016943,0.15159983136033228,0.019573408632811894,-0.012003528811609852,-0.0277271565659047
18.718,-4.837669217633289e-06,0.0,1.9197364144033184e-05,0.0009631749464171899,-0.00035535439480768427,-0.24716533788262277,0.1515758281038847,0.019570309535767213,-0.012001628223793607,-0.027722766442627993
18.72,-4.8369036645349445e-06,0.0,1.919432449387826e-05,0.0009630224433358184,-0.00035529813095598416,-0.2471262034607646,0.15155182864800973,0.019567210929076706,-0.011999727937490478,-0.027718377014452802
18.722,-4.836138225439157e-06,0.0,1.9191285326312754e-05,0.0009628699644135333,-0.0003552418760044654,-0.24708707523513926,0.15152783299210446,0.019564112812668646,-0.011997827952642377,-0.027713988281269072
18.724,-4.835372900450011e-06,0.0,1.91882466412178e-05,0.0009627175096459275,-0.0003551856299518846,-0.24704795320476633,0.1515038411355661,0.019561015186471145,-0.011995928269191422,-0.027709600242966762
